1.58734373,1.58734373,1.58734373
1.58734373,1.58734373,1.58734373
1.58734373,1.58734373,1.58734373
1.58734373,1.58734373,0.84211193
1.58734373,0.84211193,0.84211193
0.84211193,0.84211193,0.09688013
0.84211193,0.09688013,0.09688013
0.09688013,0.09688013,0.28318808
0.09688013,0.28318808,0.65580398
0.28318808,0.65580398,0.65580398
0.65580398,0.65580398,0.46949603
0.65580398,0.46949603,0.65580398
0.46949603,0.65580398,0.28318808
0.65580398,0.28318808,-0.83465961
0.28318808,-0.83465961,-0.83465961
-0.83465961,-0.83465961,-0.83465961
-0.83465961,-0.83465961,-0.83465961
-0.83465961,-0.83465961,-0.83465961
-0.83465961,-0.83465961,-1.02096756
-0.83465961,-1.02096756,-1.20727551
-1.02096756,-1.20727551,-1.20727551
-1.20727551,-1.20727551,-1.20727551
-1.20727551,-1.20727551,-1.20727551
-1.20727551,-1.20727551,-1.20727551
-1.20727551,-1.20727551,-1.20727551
